"Variable","Table_Name"
"sss","tblSSS_NRT"
"sst","tblSST_AVHRR_OI_NRT"
"Fe","tblPisces_NRT"
"PP","tblPisces_NRT"
"Si","tblPisces_NRT"
"NO3","tblPisces_NRT"
"CHL","tblPisces_NRT"
"PHYC","tblPisces_NRT"
"PO4","tblPisces_NRT"
"O2","tblPisces_NRT"
"vgosa","tblAltimetry_REP"
"vgos","tblAltimetry_REP"
"sla","tblAltimetry_REP"
"ugosa","tblAltimetry_REP"
"ugos","tblAltimetry_REP"
"wind_stress","tblWind_NRT"
"eastward_wind","tblWind_NRT"
"surface_downward_eastward_stress","tblWind_NRT"
"wind_speed","tblWind_NRT"
"surface_downward_northward_stress","tblWind_NRT"
"northward_wind","tblWind_NRT"
"ftle_bw_sla","tblLCS_REP"
"disp_bw_sla","tblLCS_REP"
"AOU_WOA_clim","tblWOA_Climatology"
"density_WOA_clim","tblWOA_Climatology"
"o2sat_WOA_clim","tblWOA_Climatology"
"oxygen_WOA_clim","tblWOA_Climatology"
"salinity_WOA_clim","tblWOA_Climatology"
"conductivity_WOA_clim","tblWOA_Climatology"
"nitrate_WOA_clim","tblWOA_Climatology"
"phosphate_WOA_clim","tblWOA_Climatology"
"silicate_WOA_clim","tblWOA_Climatology"
